subjects,concepts
Encontro Vocalico,"Você já aprendeu sobre encontros vocálicos. Vamos rever algumas definições.
Ditongo é o encontro de duas vogais pronunciadas na mesma sílaba.
Hiato é o encontro de duas vogais pronunciadas em sílabas separadas.
Tritongo é o encontro de três vogais pronunciadas na mesma sílaba."
Digrafo,"Você já deve saber que Encontro consonantal é quando duas consoantes ficam na mesma sílaba.
Dígrafo é o encontro de duas letras que representam um único fonema. Há dois tipos de dígrafos: dígrafo consonantal. e dígrafo vocálico."
novo teste,Hello my dear
Topico Maria,Conceito do topico
Meio ambiente,O  plastico demora mais e etc.. 
